科目番号,科目名,単位数,実施学期,曜時限
GA40103,体験型システム開発A,3.0,春ABC,"水3,4,金5,6"
GA40203,体験型システム開発B,3.0,秋ABC,"水3,4,金5,6"
GA40503,ビジネスシステムデザイン基礎I,2.0,夏季休業中,集中
GA40603,ビジネスシステムデザイン実践I,2.0,秋ABC,応談
GA40703,ビジネスシステムデザイン基礎II,2.0,夏季休業中,集中
GA40803,ビジネスシステムデザイン実践II,3.0,秋ABC,"水3,4,金5,6"
GE40201,学習指導と学校図書館,2.0,秋AB,"火5,6"
GE40301,学校図書館メディアの構成,2.0,秋AB,"火1,2"
GE40401,読書と豊かな人間性,2.0,春AB,"金5,6"
GE40501,情報メディアの活用,2.0,秋AB,"火3,4"
GE40603,インターンシップ,2.0,夏季休業中,集中
GE40703,国際インターンシップ,2.0,通年,応談
GE42002,国際学術演習A,1.0,,
GE42102,国際学術演習B,1.0,,
GE60113,知識科学実習A,1.0,春AB,"月5,6"
GE60123,知識科学実習B,1.0,秋AB,"月5,6"
GE60201,テクニカルコミュニケーション,2.0,春AB,"火5,6"
GE60501,知識論,2.0,春AB,"火3,4"
GE60601,知識形成論,2.0,秋AB,"木5,6"
GE60801,学術メディア論,2.0,春AB,"金3,4"
GE61001,コミュニティ情報論,2.0,,
GE61101,図書館建築論,2.0,秋AB,"水5,6"
GE61301,情報評価,2.0,春AB,"火1,2"
GE61801,データ構造とアルゴリズム,2.0,秋AB,"木1,2"
GE61901,情報検索システム,2.0,春AB,"金1,2"
GE62001,生命情報学,2.0,春AB,"木5,6"
GE62101,知識コミュニケーション,2.0,秋AB,"火5,6"
GE62301,ソーシャルメディア分析,2.0,秋AB,"水1,2"
GE62401,Machine Learning and Information Retrieval,2.0,,
GE62501,Human Information Interaction,2.0,春AB,"木3,4"
GE62601,身体知,2.0,春AB,"月1,2"
GE62701,メディア技術と文化,2.0,,
GE70113,知識情報システム実習A,1.0,春AB,"月5,6"
GE70123,知識情報システム実習B,1.0,秋AB,"月5,6"
GE70201,情報サービスシステム,2.0,春AB,"火3,4"
GE70301,ディジタルドキュメント,2.0,秋AB,"木3,4"
GE70401,ディジタルライブラリ,2.0,春AB,"木3,4"
GE70501,情報検索システム,2.0,春AB,"金1,2"
GE70601,Webプログラミング,2.0,春AB,"木1,2"
GE70701,マルチメディアシステム,2.0,春AB,"火1,2"
GE70801,データ表現と処理,2.0,,
GE70901,データベース技術,2.0,,
GE71001,情報デザインとインタフェース,2.0,春AB,"火5,6"
GE71101,ヒューマンインタフェース,2.0,春AB,"木5,6"
GE71801,データ構造とアルゴリズム,2.0,秋AB,"木1,2"
GE71901,マークアップ言語,2.0,春AB,"月1,2"
GE72501,メディアアート,2.0,春C,"火・金3,4"
GE72601,Human-computer Interaction,2.0,秋C,"月・木3,4"
GE72701,Machine Learning and Information Retrieval,2.0,,
GE72801,知識資源の分類と索引,2.0,,
GE72901,数式処理システム論,2.0,秋AB,"木1,2"
GE73101,Human Information Interaction,2.0,春AB,"木3,4"
GE73201,博物館情報学,2.0,秋AB,"金3,4"
GE80113,情報資源経営実習A,1.0,春AB,"月5,6"
GE80123,情報資源経営実習B,1.0,秋AB,"月5,6"
GE80301,学術情報基盤論,2.0,春AB,"火3,4"
GE80501,情報サービス経営論,2.0,春AB,"水1,2"
GE80801,情報サービス構成論,2.0,秋AB,"金1,2"
GE80901,コレクションとアクセス,2.0,秋AB,"月1,2"
GE81101,メディア教育の実践と評価,2.0,秋AB,"木3,4"
GE81201,学校図書館論,2.0,春AB,"木3,4"
GE81301,情報法,2.0,春AB,"金3,4"
GE81401,知的財産権論A,2.0,秋AB,"木5,6"
GE81901,図書館文化史論,2.0,,
GE82601,パブリックガバナンス,2.0,秋AB,"金5,6"
GE82802,PBL型図書館サービスプログラム開発,2.0,通年,応談
GE82901,アーカイブズ資源,2.0,春AB,"木5,6"
GE83001,アーカイブズ管理,2.0,秋AB,"木1,2"
